name,price,quantity
Wireless Bluetooth Headphones,89.99,150
Stainless Steel Water Bottle,19.95,300
Organic Cotton T-Shirt,24.99,500
Premium Coffee Beans,12.50,200
Gaming Keyboard,75.00,80
Ceramic Plant Pot,14.99,120
LED Desk Lamp,34.50,250
Yoga Mat,29.99,180
Portable Power Bank,45.00,400
Smart Fitness Tracker,129.99,90
Electric Kettle,39.95,160
Wireless Mouse,22.49,600
Hardcover Notebook,9.99,700
Noise-Canceling Earbuds,159.00,75
Graphic Novel,18.75,220
Blender,65.00,130
Scented Candle Set,16.99,350
Running Shoes,89.95,110
Smart Thermostat,199.00,60
Solar-Powered Charger,54.95,190
